Headings,Dates,Summaries
Park Changes Possible After Wheelchair Sticks In Gravel,"February 24, 2016","Phyllis Saarinen said she and her husband, Arthur, who uses a wheelchair, were at the park at 325 SW Williston Road on Feb. 14."
Officials Advising Cedar Key Boaters To Stay Back From Birds,"February 18, 2016","Cedar Key is home to the second largest migratory site for American oystercatchers, and their resting sites are at risk from boaters getting too close or causing big wakes."
Union County Residents Fighting Phosphate Mining,"February 16, 2016","Phosphate mining may be coming to Union and Bradford counties. It has the potential to create jobs and bolster the economy, but it may also harm the environment and public health."
Cedar Key Sees 60 Percent Drop in Plastic Bags Found During Cleanup,"February 15, 2016","The Cedar Key cleanup team found 137 plastic bags in 2013, 126 in 2014, and 51 in 2015."
Florida Growers Seek Ways To Grow Olive Trees Locally,"February 15, 2016",Florida growers are looking for a way to grow olive trees locally. 
"Florida Forest Service To Burn 8,500 Acres in Goethe State Forest","February 10, 2016",Prescribed aerial burns in Goethe State Forest will result in road closures. 
Coalition Of Florida Residents Protest Bills That Would Allow Fracking,"February 3, 2016","Floridians Against Fracking is a coalition of Florida residents concerned with the process’s dangers to the environment and public health. Despite the Florida House Bill prohibiting local communities from passing bans or regulations on fracking, 41 cities and 27 counties have passed or planned on passing regulations against the process."
Former Gainesville Biomass Plant Supplier Files for Bankruptcy,"February 1, 2016",Wood Resource Recovery’s lawyers say the 2015 lawsuit and last week's bankruptcy filing are connected.
Ironwood Golf Course Maintains Sanctuary Status,"January 25, 2016","Down Northeast 39th Ave., a golf course has been considered a nature sanctuary since the turn of the century. On Thursday, Ironwood Golf Course held onto that certification."
Sierra Club Produces Podcast Critical of Plum Creek’s Plan as Alachua County Vote Nears,"January 25, 2016",The county is going to grow. But how?
UF Researchers Use $5.4 Million Grant to Succeed in Making Ethanol From Sorghum,"January 25, 2016","After receiving a $5 million grant from the USDA and the Department of Energy, a group of UF researchers are one step closer to turning an African crop into energy."
Hundreds Protest Proposed Plan to Allow Commercial Activity in Florida State Parks,"January 24, 2016",About 300 people marched a mile on Main Street in Gainesville Saturday to protest proposed commercial uses for Paynes Prairie and other state parks.
Microbeads Banned for Environmental Hazards,"January 18, 2016","Next time you exfoliate, you may want to rethink your routine, especially if your facial cleanser contains microbeads. These little guys have just been officially banned with a new piece of legislation. "
Alachua County Begins Road Closing for Wetland Restoration,"January 15, 2016","For two years, Matthew Lussier has worked with local and state government agencies to help restore wetlands behind his dairy and property that he leases. Now, Alachua County is moving to close a portion of the road between the two properties. Lussier Dairy, located north of Hawthorne on U.S. 301, …"
Controlled Burn in Gainesville Brings Warmth to Dignity Village,"January 13, 2016","On Wednesday, the Florida Forest Service performed prescribed burns on a 27-acre plot of Newnans Lake State Park. Although the fire was near Dignity Village, residents said they didn't feel threatened and welcomed the warmth."
"Alachua County Wants to Preemptively Ban Fracking, Even If the State Later Bans That Ban","January 5, 2016","Will natural gas fracking ever come to Florida the way it has in other areas across the country? Maybe, maybe not. "
2016 Ballot Prospects Dim For Solar Inititative,"December 19, 2015","The light is fading for one of two solar-energy initiatives trying to get on Florida's 2016 ballot.  The ""Floridians for Solar Choice"" coalition, remains about 400,000 petitions short of qualifying for the 2016 ballot and is in the midst of a contract dispute with a petition-gathering firm."
Where Alachua County’s Solid Waste Goes After It Leaves Your Home,"December 18, 2015",Alachua County produces waste the equivalent of more than 2 million Americans. But not everyone knows where this waste goes. 
"Swallowtail Farm, Local Restaurants Partner for Farm-to-Table Series","December 16, 2015","Swallowtail Farm in Alachua believes strongly in the farm-to-table movement, a movement that emphasizes creating the shortest distance possible between growing food and putting it on a plate to eat. The farm has invited chefs from local restaurants like Crane Ramen to cook meals using ingredients from Swallowtail itself."
‘Green Roofs’ Face Building Code Barriers,"December 15, 2015","Despite their eco-friendliness, green roofs are still not entirely implemented in Florida due to concerns over their resistance to natural catastrophes like Hurricanes. Glenn Acomb, senior lecturer in landscape architecture at UF, has done extensive research has yielded positive results so far, but the Florida Building Code has been reluctant to accept their implementation. "
UF and Community Work to Decrease Carbon Footprint,"December 11, 2015","As world leaders gather at the United Nations climate change conference in France, the University of Florida is working to decrease its carbon footprint at home."
UF Professors Work Toward Sustainability With Syllabi,"December 11, 2015","UF and its professors are working towards sustainability from a number of different angles. For Terry Harpold, banning disposable water bottles and beverage containers in his class syllabi was the first step."
Florida Springs Council Says State’s Plan To Fix Silver Springs Is Way Off,"December 10, 2015",The group wants the federal government to know its outrage with the Florida Department of Environmental Protection.
Gainesville Compost Founder Leads By Example Nationally,"December 10, 2015","Gainesville Compost is setting a national standard for compost businesses catering to local markets. Chris Cano, founder of Gainesville Compost, believes local composting is a common sense effort."
Florida Dairy Farm Recycles Cow Manure To Conserve Energy,"December 10, 2015","Alliance Dairies farm in Trenton, Florida, is recycling cow manure into energy with the use of an anaerobic manure digester. This program began in 2011 and is estimated to save $1 million per year in electricity, while also eliminating odor. "
Could Your Urine Be Florida Field’s New Fertilizer?,"December 4, 2015",UF researcher Treavor Boyer has devised a system that could cut up to 20 percent of UF's water usage. The system involves reducing the amount of water needed to fertilize Florida Field — by swapping nitrogen fertilizer for human urine. 
Hernando County Sees Tourism Growth For Outdoor Recreation,"November 30, 2015","Tourism in Hernando County has significantly increased in the last year, in large part to its outdoor recreation opportunities and mermaid shows. Hernando County has rebranded itself as Florida's ""Adventure Coast."" "
New Holiday Decorations? Here’s Where You Can Recycle Those Old Lights,"November 27, 2015",Alachua County is encouraging residents to donate or recycle old or broken holiday lights in an effort to divert them from the landfill. 
"Unwanted Chicken Farm Prompts Land Regulation, Environmental Concerns","November 24, 2015","JTC Farm Chicken Houses has started construction of a facility that will house up to 270,000 chickens. Legally, no wastewater permit is required for the operation. But local residents who live close to where the chicken farm is being built as well as the Ichetucknee Alliance have raised concerns about the possible increase on nitrate levels in the Floridan aquifer due to runoff from the chicken farm. "
An Explanation of Plum Creek’s Plans In Alachua County,"November 20, 2015",The Alachua County Planning Commission recommended Thursday night the adoption of an amendment to the Envision Alachua Sector Plan/Comprehensive Plan.
Early End to Bear Hunt Raises Concerns Over Baiting,"November 10, 2015",Claims of illegal baiting during Florida's 2015 Black Bear hunting season stir controversy. The Florida Fish and Wildlife Conservation Commission plans to issue an in-depth analysis of the hunt in a few weeks.
"Red Tide Detected, Poses Health Concerns For Humans and Sealife","November 9, 2015",Red tide algal blooms have been discovered on the coasts of Florida. This organism has toxins that are harmful to marine life's central nervous systems and humans respiratory systems. 
Santa Fe River’s Oval Pigtoe In Danger,"October 30, 2015","A group of University of Florida students has teamed up with the Alachua Conservation Trust to raise awareness for the Oval pigtoe mussel. The species, native to the Santa Fe River area, has been endangered since 1998."
UF Cycles Its Way Towards Environmental Sustainability,"October 26, 2015","UF is playing a large role across the nation in paving the way for decreasing harmful emissions caused by transportation by implementing Gator Gears, UF’s student bike rental program. "
Gainesville’s Repurpose Project Spreads Reuse Mission,"October 26, 2015","Founders Mike Myers and Sarah Goff created an environmental cooperative, The Repurpose Project, three years ago to help alleviate reusable trash from entering landfills. Today, Goff and Myer's efforts are widely celebrated throughout the Gainesville community with local residents joining in the festival of saving the planet through shared responsibility."
Florida Ends Bear Hunt After Second Day; Limit Nearly Reached,"October 26, 2015","After just two days, Florida ended its controversial black bear hunt because a higher than expected number of bears had been killed. Wildlife authorities said late Sunday that 295 bears taken overall, nearing the official limit."
"First Day Of Bear Hunt Brings Kills, Concerns","October 24, 2015","For the first time in twenty years, hunters entered the woods to kill Florida black bears. At the end of the first day, 207 bears were killed and tagged.  Hunting was halted in the Central Florida Bear Management Unit after the 100 bear limit was reached. "
"Florida Bear Hunt Kicks Off With Almost 3,000 Hunt Permits Sold","October 23, 2015","Permits are issued to control the bear population. Some of the population is known as nuisance bears, who cause frequent mischief, such as damaging beekeeper's hives and scavenging people's trash."
UF Opens New Sea Turtle Hospital in St. Augustine,"October 23, 2015","The University of Florida’s Whitney Laboratory for Marine Bioscience in St. Augustine will open a sea turtle hospital on Oct. 24 that offers medical care to sick and injured sea turtles, including those with fibropapillomatosis virus."
Florida’s Organic Grass-Fed Beef Has Environmental Impact,"October 23, 2015","Florida is one of the country's largest cattle producers, and the move toward organic grass-fed beef has an environmental impact. "
Endangered Crocodile Moves To Find New Mate,"October 21, 2015","Gloria, a Tomistoma crocodile, retired from Virginia to St. Augustine Alligator Farm to find a potential mate. Gloria's species is one of five critically endangered crocodiles being held at the farm."
"Florida Citrus Industry Not So Fruitful, Plagued By Disease","October 21, 2015","Although Marty Werts' Melrose farm has remained untouched by disease, the Florida citrus industry has faced devastating effects in the last decade due to citrus greening, citrus canker and declining sales. Even with $9.5 million allocated for citrus greening research by the Florida State Legislature between 2013 and 2014, all citrus trees are still dying faster than they are being replanted. "
Green Turtle Nesting on the Rise in Florida Beaches,"October 21, 2015","Green sea turtles are on the rise in Florida. Record high populations in 2011, 2013, and 2015 and nest records show that the turtles are nesting more frequently on the state's beaches. "
Plans To Restore Rainbow Springs Undergoing Revision,"October 15, 2015","Rainbow Springs has seen an increase in algae growth, which is affecting the appearance and wellbeing of the important ecosystem. Tourists have noticed the bright blue-green water has darkened to gray, but plans created by experts may take years to be put into place. "
Rise in Mosquito Population Raises Concern for Transmitted Virus,"October 14, 2015","A recent rise in the mosquito population in Gainesville has raised concern for Eastern Equine Encephalitis virus (EEEV), a virus that is transmitted through mosquito bites. Though a human case has not been confirmed this year, experts urge caution."
Native Bees Are ‘Plan B’ In Pollination Efforts,"October 14, 2015","Due to declining honeybee populations, researchers are trying to help farmers find sustainable ways to pollinate their crops. Project Integrated Crop Pollination is being led by the Michigan State University and has solicited the help of the University of Florida. "
Gainesville’s Link To October Extends Far Beyond Halloween,"October 13, 2015","Gainesville holds a special connection to National Bat Appreciation Month, housing one of the largest bat houses in North America and a thriving bat population. Bats influence local agriculture by removing pests and dropping seeds that promote regrowth."
"Florida Panther Deaths Still a Problem, Despite Population Growth","October 12, 2015",The panther population is relatively small and they are often at risk for getting hit by a car. The Florida Fish and Wildlife Conservation Commission is aiming to keep the panther population as safe and healthy as possible. 
Freshwater Mussel May Be Placed Under Endangered Species Act,"October 9, 2015","Freshwater mussel, the Suwannee Moccasinshell, became a top priority Monday following the U.S. Fish and Wildlife Service’s decision to propose that the species be protected under the Endangered Species Act. "
Microbeads In Everyday Products Damages Ecosystems,"September 30, 2015","Microbeads, like the ones found in common toothpastes and facial products, are damaging the environment more than many people know. The particles in these beads can enter oceans and rivers, disrupting marine life and causing damage to the ecosystem. "
Florida Researchers Aim To Breed Better Blueberries,"September 30, 2015","Researchers tested 19 different types of blueberries, which were ranked based on overall liking, texture, sweetness, sourness and flavor intensity to determine what type of blueberry people liked and which type would produce consistent results when grown in different environments."
Gainesville Landfill Transforms Into Floodplain,"September 30, 2015","A decades-old Gainesville landfill will soon be transformed into a functioning floodplain.  The old landfill near the Gainesville Regional Airport has caused erosion and affected the quality of the local water for humans and wildlife. The $1.88 million project to remediate the landfill has been in progress since April, but the landfill has a history dating back more than half a century ago."
State Forester Recognized For National Impact,"September 29, 2015","A Florida forester received a national award for fire prevention. He calls prescribed burns the ""single most important"" land management tool in the state. "
Christmas Tree Farm Puts Finishing Touches On This Year’s Trees,"September 24, 2015","For a Christmas tree farm, preparation for the holiday season begins way before December. At the Unicorn Hill Christmas Tree Farm, finalization of the trees starts this month. "
Alachua County Ranks Seventh Statewide In Successful Recycling,"September 23, 2015",Contamination in recycling has lead to deficit for the national recycling industry. Alachua County has managed to remain successful due to their dual stream system. 
"Florida Celebrates National Honey Month, Increases Production And Profit","September 22, 2015","The month of September is National Honey Month, which marks the end of honey collection for most beekeepers across America. Florida consistently ranks top five for honey production in the country and is seeing an increase in the number of bee colonies in the past 8 years. As a result, the state generates a $13 million annual honey profit."
Project Proposal To Study Effects of Rising Sea Levels In St. Augustine,"September 16, 2015","The new project proposal would go into effect Oct. 1, if approved. Researchers hope to help preserve St. Augustine by highlighting vulnerable areas in infrastructure so the city is better prepared for rising sea levels."
IFAS Agents Helping Homeowners Statewide,"September 14, 2015","In a grass dispute that involved legal action, an IFAS employee helped Haile Plantation residents get Zoysia grass approved for their lawns. "
Local Farmers Struggle To Fight Flooding,"September 10, 2015","With all of the recent heavy rainfall, local farmers like Roy Brown are having a difficult time dealing with flooding."
St. Johns River Water Management District Faces Opposition From Environmental Agencies,"September 4, 2015",An appeal to the 5th District Court of Appeal in Daytona Beach has been filed regarding a consumptive use permit that was issued by the St. Johns River Water Management District. The appeal is being reviewed because certain parties claim the permit was not analyzed correctly and that it could be detrimental to the environment.
U.S. Sen. Bill Nelson Talks to UF Researchers On Rising Sea Threat,"September 1, 2015",U.S. Sen. Bill Nelson met with UF researchers  to discuss the impact that rising seas will have on North Florida and to look for ways to make the public aware.  He questioned whether a natural disaster would have to occur before people grasp the severity of the threat. 
Bradford County Floods After The Ultimate Rain Shower,"September 1, 2015","Bradford County residents are struggling to travel due to rain from tropical system Erika. Sandbags are not helping, and motorists have found themselves stuck in mud holes that seem impossible to escape. "
Thousands Sign Petition Against Profiting From Paynes Prairie,"September 1, 2015","A petition launched by an environmentalist to stop possible cattle grazing and tree growing in Paynes Prairie Preserve State Park has more than 10,000 signatures. The environmentalist, Shirley Lasseter, started the petition in response to a proposal by the DEP secretary to allow such for-profit uses to help pay for the parks."
State Park Commercialization Plan Contributor Appointed DEP Secretary,"August 5, 2015","State parks were identified by former interim secretary of the DEP Jon Steverson in a draft strategic plan as test cases for allowing commercial businesses to graze cattle, timber and hunt in the parks. Gov. Rick Scott appointed Steverson as DEP secretary today."
Hogtown Creek Bacteria Levels Unsafe For Human Use,"July 28, 2015",The Alachua County Environmental Protection Department has found unsafe levels of bacteria in Hogtown Creek waters.
FWC Surveys Local Fishermen About Gulf Species,"July 22, 2015","The FWC is conducting surveys to discover trends in species of fish being caught in the Gulf of Mexico. Local fishermen agree that monitoring the fish is important, but some question the method of data collection. "
Stephen Foster Residents Hope For Neighborhood Revival,"July 9, 2015","The Cabot-Koppers wood treatment plant became an EPA Superfund site in 1983 after dioxins contaminated the soil and underground aquifer. Now that cleanup of residential property was completed in November, the residents look toward the future."
Butterfly Study Calls Attention To Prescribed Burning Practices,"July 9, 2015","A recent study by a University of Florida graduate researches the effects of prescribed fires on the elfin frosted butterfly. The species requires fire to survive, but is also prone to damage from excessive burning."
Longleaf Pine Restoration Helps Environment And Economy,"July 6, 2015","Longleaf pine is being reintroduced into the United States ecosystem. If the restoration plan is successful, this type of pine would benefit the environment and the economy."
"For Trees Like Bert, Special Titles Do Not Always Guarantee Special Protections","June 3, 2015","The Florida Champion Tree Register recognizes the largest tree in the state of each noninvasive species. It's the next step of recognition up from heritage tree status, like that of Bert, the bluff oak that has affected plans for the Innovation Nexus Building at UF."
"NOAA: Inactive Season Likely, Officials Aren’t Swayed","May 27, 2015",The National Oceanic and Atmospheric Administration has released a seasonal hurricane forecast.  WUFT Meteorologist Marithza Calderon says it’s no surprise that they say we could be in for another inactive season.
"Once Vilified, BP Now Getting Credit For Gulf Tourism Boom","May 25, 2015",The once vilified BP is now being commended for its efforts in helping to attract visitors back to the Gulf Coast. The oil company is spending more than $230 million in its efforts.
Ichetucknee Springs Reopens Entrance for Memorial Day,"May 22, 2015","Ichetucknee Springs is reopening the northern entrance of the park for Memorial Day weekend. 4,000 are expected to be in attendance during the three-day weekend."
Citrus Greening Continues To Plague Florida Orange Groves,"May 15, 2015","Described as one of the worst diseases to ever hit Florida orange groves, citrus greening is costing the state's general fund $5.75 million. If the disease is not curbed it could be detrimental to Florida's agriculture and economy. "
Bert’s Fate Still Has To Wait,"May 14, 2015","After a meeting held Tuesday to discuss alternate plans for the University of Florida's Nuclear Science Building construction, the fate of Bert the bluff oak is still undecided. UF's Lakes, Vegetation and Landscaping Advisory Committee discussed an alternate plan but were unable to reach a decision. "
Tri-State Group Unanimously Backs Plan For River System,"May 14, 2015","Fifty-six people from Florida, Georgia and Alabama unanimously approved of a new sustainable water management plan. They issued their recommendations even as Florida sues Georgia, with Florida's government arguing that too much water is being siphoned off upstream."
Bert The Bluff Oak Waits For Fate,"May 13, 2015","A meeting will be held to decide on construction plans for the University of Florida’s Nuclear Sciences Building. After student and faculty voiced opposition over the potential removal of a 200-year-old oak tree named Bert, the architects were tasked with coming up with alternate plans that would spare the tree. "
Florida Cemetery Offers Environmental Burial Options,"May 8, 2015",North Central Florida Cemetery is the only cemetery in Florida that allows people to be buried on protected land. One of the cemetery's focuses is being environmentally friendly.
Legislature Proposes Reallocating Amendment 1 Funds,"May 6, 2015",The Florida Legislature has proposed spending money earmarked for conservation in other places. The legislature recommended spending between $8 to $10 million of the $750 million conservation funds on land buys. 
"UF Professor Develops Fertilizer For Healthier Palms, Soil And Water","April 29, 2015","Tim Broschat, a University of Florida environmental horticulture professor, developed a palm fertilizer suitable for Florida's soil that could also reduce water pollution during the summer. At this time, his fertilizer is only available for commercial landscapers."
Beville Creek Restoration Project Underway,"April 21, 2015",The city of Gainesville closed Cofrin Nature Park in order to complete a restoration project on Beville Creek. The goal of the project is to repair the eroding shoreline and provide new areas to the creek where wildlife can gather. The park is slated to reopen sometime in the fall. 
Suwannee Lake Renovations Still Progressing,"April 17, 2015","Almost two years after the Florida Fish and Wildlife Conservation Commission closed Suwannee Lake to the public for renovations, some of the changes are now visible. For almost 50 years, the lake has provided a natural habitat for wildlife in North Florida, as well as a popular fishing spot for …"
Experts Caution Against Bear Hunting in Alachua County,"April 16, 2015",The Fish and Wildlife Conservation Commission met yesterday to review a proposal which would allow bear hunting on specific areas throughout Florida. Wildlife groups question if hunting is the solution to an increasing number of bear encounters.
Swamp Head Brewery Introduces Species to New Conservation,"April 14, 2015","When Swamp Head Brewery moved into their new location, off Southwest 34th Street in Gainesville, in January, they saved one acre of their land for conservation. The brewery is working toward creating an environment that is reflective of their tasting room, “The Wetlands.” "
"UF Students, Staff Attempt To Save Heritage Trees","April 11, 2015","The people behind a social media campaign that took root over night are celebrating a little victory for a very big tree. 
After discovering a unique tree on the University of Florida's campus is scheduled for removal because of construction, a group of students and faculty rallied to save it. "
Fire Station Is First Building In Hawthorne To Get Solar Overhaul,"April 1, 2015","Alachua County Fire Rescue Station 25 will be the first county building in Hawthorne to be outfitted with solar panels. The station is one of 24 buildings determined viable for the county's solar panel initiative, which seeks to cut energy consumption. "
Four Snake Species Added To Restricted List,"March 31, 2015","A new law will make it illegal to import and sell four species of snakes across state lines. These snakes include one type of python and three types of anacondas, which if introduced could pose a threat to local ecosystems. "
Flooding Disrupts Hunting During Spring Turkey Season At Gores Landing,"March 27, 2015","From March 16-29, a large portion of McLemore Road on Gores Landing WMA is closed due to recent rainfall and flooding conditions. Unfortunately for hunters, the closure of the road in this typical turkey habitat overlaps with the spring turkey hunting season, from March 21-29."
Intentional Fires Stimulate Environmental Growth In Alachua County,"March 17, 2015","In efforts to promote a healthy forest ecosystem, burners at the Welaka State Forest and Etoniah Creek State Forest have been busy creating prescribed burns.  The planned fires help to reduce potential fuel for unplanned forest fires and cycle nutrients back into the forest. "
Workshop Sparks Debate on Dangers of Burmese Pythons,"March 4, 2015","Florida wildlife officials have boosted their efforts against Burmese pythons by inviting the public to join the fight, but some researchers and breeders disagree on the severity of the python problem."
New Funds Help UF/IFAS Fight Citrus Greening In Central Florida,"March 2, 2015",University of Florida’s Institute of Food and Agricultural Sciences was awarded about $13.4 million to help fund four research projects aimed at finding a solution to citrus greening.
FWC Hosts First Statewide Nonnative Fish Catch,"February 27, 2015",The Florida Fish and Wildlife Conservation Commission hosts the first statewide nonnative fish catch. The contest was created to raise awareness and help reduce the growing population of invasive fish species in Florida's waters. 
Siembra Farm Encourages Sustainability Through Local Community Food System,"February 27, 2015",Local farm practices sustainable farming techniques through community supported agriculture. The University of Florida Office of Sustainability has been working with the farm to provide sustainable food options to the community.
Future Uncertain For 320-Acre Dixie County Hunting Preserve,"February 25, 2015",A wildlife preserve in Dixie County used for hunting is for sale. The current owner said he will not require the buyer to continue in the hunting business. 
"Hydroponic Farm Finds A Cleaner, More Natural Way To Grow Crops","February 19, 2015","A farm that uses Blue Grotto Spring water is finding a cleaner and more natural way to grow produce through hydroponic farming, a method that grows plants without soil. "
Alachua County Approves Resolution In Support Of Statewide Ban On Fracking,"February 16, 2015","The Alachua Board of County Commissioners approved two bills that could help keep the water supply safe. The resolution supports the statewide ban of fracking, which opponents say could contribute to underground water pollution."
Cold Front Threatens Strawberry Crops,"February 13, 2015","Twenty minutes outside of Gainesville, farmer Roy Brown, runs the family-owned Brown's Farm. Their 4-acre strawberry field was covered Thursday, as Brown prepared for a wind chill around 20 degrees."
Gainesville Regional Utilities Customers Pay More To Use Less,"February 4, 2015","Gainesville residents using less energy means generating less money for Gainesville services such as police and parks. To offset the loss, the average bill for a GRU customer increased about $6 in October, resulting in the second highest ranked residential bill in the state. "
Hawthorne Volunteer Trash Collector A Fixture In Community,"January 28, 2015","When a doctor recommended he get more exercise, Hawthorne resident Winford Jenkins, 57, began taking daily walks around the city. After noticing just how much trash cluttered the streets, he decided to do something about it. "
Florida Forever Program Confirms 2015 Priority List,"December 22, 2014","The Florida Forever Program, a land acquisition program, hopes to obtain 119 new properties, many of which located in North Central Florida. The lands are assessed based on several criteria to determine their environmental value."
Historic Orange Grove’s Fate Undecided,"December 21, 2014","The historic Carney Island orange grove has switched caretakers' hands many times, but the Marion County Board of Commissioners now must face a decision on its future owners and use."
Alachua County Receives Florida’s 36th State Forest,"December 16, 2014","The 1,000-plus acres of diverse land west of Newnans Lake in Gainesville will provide bicycle and hiking trails for the public in spring 2015."
Solution Found For Disease Threatening Avocado Production,"December 5, 2014","UF Researchers and researchers from the Tropical Research and Education Center, USDA and the Indian River Research and Education Center in Fort Pierce have found an alternate way to control the spread of Laurel wilt, a disease that threatens Florida's avocado industry. "
